school_name,lng_wgs84,lat_wgs84
沈阳大学,123.4545569,41.82368495
大连大学,121.8153185,39.09949286
辽宁科技学院,123.7075122,41.45624722
辽宁警察学院,121.3240906,38.96332485
沈阳工程学院,123.4127868,41.91699574
辽东学院,124.3579353,40.17250059
大连民族大学,121.9754898,39.08681408
辽宁理工职业大学,121.0621458,40.8903354
大连理工大学城市学院,121.8438128,39.15139619
沈阳工业大学工程学院,123.1810168,41.20157398
沈阳航空航天大学北方科技学院,123.462848,41.927136
沈阳工学院,123.7118449,41.84072303
大连工业大学艺术与信息工程学院,121.317513,38.9652464
大连科技学院,121.1498593,38.78128176
沈阳城市建设学院,123.4117932,41.67381817
大连医科大学中山学院,121.6436413,38.91615091
锦州医科大学医疗学院,121.1091878,41.08132601
辽宁师范大学海华学院,123.4048154,41.68108131
辽宁理工学院,121.1133085,41.08007533
大连财经学院,121.8268398,39.08523296
沈阳城市学院,123.5307699,41.62312642
大连艺术学院,121.82915,39.09768968
辽宁中医药大学杏林学院,123.4080282,41.67754298
辽宁何氏医学院,123.7172169,41.91266457
沈阳科技学院,123.3965281,41.67871165
大连东软信息学院,121.5315781,38.89230516
辽宁财贸学院,120.7900352,40.62028128
辽宁传媒学院,123.4092512,41.92259648
营口理工学院,122.2387596,40.63071242
朝阳师范高等专科学校,120.3839392,41.4954383
抚顺师范高等专科学校,123.9092974,41.87920604
锦州师范高等专科学校,121.150942,41.14008774
营口职业技术学院,122.2351204,40.60215693
铁岭师范高等专科学校,123.7405512,42.24852151
大连职业技术学院,121.8380181,39.34471506
辽宁农业职业技术学院,122.1468274,40.18230064
抚顺职业技术学院,123.9092974,41.87920604
辽阳职业技术学院,123.1001316,41.20320139
阜新高等专科学校,121.7292422,42.05746825
辽宁省交通高等专科学校,123.5054695,41.93409468
辽宁税务高等专科学校,121.5407413,38.87907521
盘锦职业技术学院,122.1004151,40.72695771
沈阳航空职业技术学院,123.4229629,41.86765278
辽宁体育运动职业技术学院,123.4756001,41.7611854
辽宁职业学院,123.8977817,42.30383793
辽宁生态工程职业学院,123.5130635,41.93886586
沈阳职业技术学院,123.4756001,41.7611854
大连商务职业学院,121.4914786,38.93559871
辽宁金融职业学院,123.5123772,41.93643497
辽宁轨道交通职业学院,123.2058226,41.74907305
辽宁广告职业学院,123.3441141,41.91562022
辽宁机电职业技术学院,124.3363015,40.03270809
辽宁经济职业技术学院,123.4859777,41.93384577
辽宁石化职业技术学院,121.1165776,41.13373496
